PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Jeremiah Martin,BKN,23,3,3,0,5.3,105.9,100.0,5.9,15.4,0.00,28.6,0.0,10.0,5.7,0.0,20.0,20.0,13.9,102.32,5.6,2019
Jeremy Lamb,IND,27,46,27,19,28.1,108.9,109.8,-0.9,10.7,1.92,14.2,1.9,13.5,7.9,7.4,50.6,54.7,19.5,99.33,9.5,2019
Jeremy Pargo,GSW,34,3,0,3,14.8,112.1,109.7,2.4,30.8,2.00,23.5,2.4,4.8,3.6,11.8,56.8,55.7,26.8,99.66,7.0,2019
Jerome Robinson,WAS,23,55,35,20,13.6,105.4,103.2,2.2,11.7,1.91,19.8,1.1,11.5,6.3,10.4,41.9,43.9,13.9,109.03,4.4,2019
Jevon Carter,PHX,24,50,21,29,15.1,103.5,107.2,-3.8,12.9,2.10,20.8,3.3,9.5,6.4,9.9,51.2,53.5,13.8,102.89,6.8,2019
Joe Chealey,CHA,24,4,1,3,8.4,69.6,93.0,-23.4,6.3,0.50,9.1,0.0,0.0,0.0,18.2,0.0,12.7,12.8,100.45,-4.0,2019
Joe Harris,BKN,28,63,30,33,30.9,109.9,108.3,1.6,9.8,1.40,13.5,2.8,10.0,6.4,9.6,57.9,59.2,17.6,102.12,8.6,2019
Joe Ingles,UTA,32,64,41,23,29.9,110.9,105.1,5.8,24.0,2.67,33.5,1.2,11.4,6.6,12.6,56.6,58.8,14.7,100.01,9.6,2019
John Konchar,MEM,24,15,7,8,11.1,110.0,105.2,4.8,16.7,3.50,33.9,9.9,16.1,13.0,9.7,71.4,71.1,9.8,101.06,13.8,2019
Jordan Bone,DET,22,10,3,7,5.3,101.8,104.7,-2.9,23.5,4.00,26.7,0.0,9.1,3.9,6.7,30.0,30.0,17.1,98.21,1.1,2019
Jordan Clarkson,UTA,27,63,31,32,24.2,111.0,110.7,0.4,13.1,1.51,12.3,3.0,7.6,5.3,8.1,55.1,58.3,24.6,99.60,10.9,2019
Jordan McLaughlin,MIN,23,30,7,23,19.7,105.3,111.1,-5.8,30.3,4.03,35.8,1.0,7.9,4.0,8.9,57.0,58.7,15.1,106.50,11.0,2019
Jordan McRae,DET,29,37,12,25,21.2,109.7,113.7,-4.1,17.4,2.16,16.9,2.2,13.9,7.8,7.8,46.9,51.5,23.9,104.59,9.3,2019
Jordan Poole,GSW,20,57,12,45,22.3,101.8,110.0,-8.2,16.0,1.81,17.8,0.7,8.7,4.5,9.8,40.6,45.4,20.0,103.47,5.1,2019
Josh Gray,NOP,26,2,1,1,11.4,76.6,91.5,-14.9,15.4,0.40,22.2,5.3,4.0,4.5,55.6,50.0,50.0,13.7,99.31,-2.4,2019
Josh Hart,NOP,25,57,24,33,27.4,107.8,110.7,-2.9,8.2,1.45,13.8,3.1,19.0,10.9,9.6,53.1,55.6,14.9,105.11,8.8,2019
Josh Jackson,MEM,23,18,9,9,19.8,109.1,105.9,3.3,11.8,1.24,13.7,2.8,11.7,7.3,11.0,51.3,53.9,21.7,105.84,8.8,2019
Josh Magette,ORL,30,8,3,5,4.7,89.7,87.3,2.4,23.8,1.00,19.2,2.2,12.8,7.1,19.2,36.7,37.8,22.6,99.44,5.7,2019
Josh Okogie,MIN,21,62,19,43,25.0,106.3,111.0,-4.7,8.9,1.14,14.8,5.0,11.4,8.1,13.0,47.9,55.3,14.8,105.88,7.0,2019
Josh Reaves,DAL,22,2,1,1,0.7,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,129.29,-33.3,2019
Josh Richardson,PHI,26,48,29,19,30.7,108.0,104.2,3.8,14.7,1.63,17.0,2.4,8.0,5.3,10.5,49.0,52.6,20.5,100.24,8.1,2019
Jrue Holiday,NOP,29,55,24,31,34.9,110.5,109.9,0.6,28.9,2.39,24.6,3.4,9.6,6.5,10.3,51.4,53.5,24.4,104.13,11.7,2019
Justin Anderson,BKN,26,3,2,1,5.6,69.2,94.6,-25.4,0.0,0.00,0.0,0.0,9.1,4.9,0.0,16.7,21.8,15.9,107.82,-4.7,2019
Justin Holiday,IND,31,65,39,26,24.9,108.2,106.3,1.9,7.1,2.17,14.9,1.8,10.1,6.0,6.8,58.1,59.8,13.0,102.37,7.8,2019
Justin James,SAC,23,34,13,21,6.4,96.8,98.3,-1.6,11.6,2.00,14.3,2.6,11.0,6.7,7.1,48.1,48.7,18.4,104.04,7.9,2019
Justin Robinson,WAS,22,9,2,7,5.4,110.9,81.0,29.9,19.4,2.33,31.8,2.2,9.8,5.7,13.6,54.2,54.2,13.3,99.08,7.7,2019
Justin Wright-Foreman,UTA,22,1,0,1,1.5,66.7,0.0,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.91,0.0,2019
Justise Winslow,MEM,24,11,7,4,32.0,106.2,99.9,6.4,18.3,1.83,21.0,4.3,15.4,9.8,11.4,41.1,44.0,19.0,104.72,7.4,2019
